course_link,price,title,subject,level,institution,length,prerequisites,short_description,effort
Learn the best practices and guidelines needed to create accessible web applications and empower all of your users.,,5 modules,FREE,Introduction to Web Accessibility,Computer Science,3-4 hours per module,https://www.edx.org/course/introduction-web-accessibility-microsoft-dev240x,Intermediate,Microsoft
Learn the foundational principles of personnel management and leadership.,Access to a public library community.,4 weeks,FREE,Personnel Management for Public Libraries,Art & Culture,2-4 hours per week,https://www.edx.org/course/personnel-management-public-libraries-michiganx-publib603x,Introductory,MichiganX
"Learn the basics of Excel, one of the most popular data analysis tools, to help visualize and gain insights from your data.",Missing,4 weeks,FREE,Introduction to Data Analysis using Excel,Data Analysis & Statistics,2-4 hours per week,https://www.edx.org/course/introduction-data-analysis-using-excel-microsoft-dat205x-1,Introductory,Microsoft
"Learn the skills needed to create RESTful services using Web API, REST, ASP.NET Core, and CORS.","Knowledge of C#
Knowledge of web technologies
Database knowlede",4 weeks,FREE,Build Web APIs using ASP.NET,Computer Science,3-4 hours per week,https://www.edx.org/course/build-web-apis-using-asp-net-microsoft-dev247x,Intermediate,Microsoft
"Learn about the different modes of Islamic Finance and the applications, management and risk involved with each.",None,4 weeks,FREE,Islamic Finance and Banking: Modes of Finance,Economics & Finance,3-4 hours per week,https://www.edx.org/course/islamic-finance-banking-modes-finance-irtix-ifb102x-0,Introductory,IRTIx
"Learn about the integrative power of knowledge management, Big Data and Cloud Computing, and how they impact the new business era.",None,6 weeks,FREE,Knowledge Management and Big Data in Business,Business & Management,6-8 hours per week,https://www.edx.org/course/knowledge-management-big-data-business-hkpolyux-ise101x-3,Introductory,HKPolyUx
Learn the fundamental elements of Java programming and data abstraction.,None,5 weeks,FREE,Introduction to Java Programming – Part 1,Computer Science,3-5 hours per week,https://www.edx.org/course/introduction-java-programming-part-1-hkustx-comp102-1x-8,Introductory,HKUSTx
The first MOOC to teach the fundamental elements of Java programming and data abstraction.,Introduction to Java Programming Part 1 - COMP102.1x is recommended. ,5 weeks,FREE,Introduction to Java Programming – Part 2,Computer Science,3-5 hours per week,https://www.edx.org/course/introduction-java-programming-part-2-hkustx-comp102-2x-4,Introductory,HKUSTx
Learn the basics of mobile application development using Android as the platform.,"Basics of Java programming
OR
COMP102x
OR
COMP102.1x + COMP102.2x",6 weeks,FREE,Introduction to Mobile Application Development using Android,Computer Science,3-5 hours per week,https://www.edx.org/course/introduction-mobile-application-hkustx-comp107x-3,Introductory,HKUSTx
"Learn how a Project Management Office (PMO) works, discover techniques to monitor and control projects and find out how to keep your project portfolio healthy.",None.,4 weeks,FREE,Portfolio Management & Governance,Business & Management,2-5 hours per week,https://www.edx.org/course/portfolio-management-governance-uwashingtonx-pm-it-002x,Introductory,UWashingtonX
"Learn how to build effective teams, be a great team player and manage team conflict.",None,4 weeks,FREE,Working in Teams: A Practical Guide,Humanities,6-8 hours per week,https://www.edx.org/course/working-teams-practical-guide-uqx-teams101x-1,Introductory,UQx
"Learn how a team comes together to create, market and deliver a video game.",None,5 weeks,FREE,Video Game Design: Teamwork & Collaboration,Computer Science,3 hours per week,https://www.edx.org/course/video-game-design-teamwork-collaboration-ritx-game104x,Introductory,RITx
Learn how behavioural science can improve our criminal justice system.,None,8 weeks,FREE,The Psychology of Criminal Justice,Social Sciences,1-2 hours per week,https://www.edx.org/course/psychology-criminal-justice-uqx-crime101x-3,Introductory,UQx
